Device Id,Vehicle No
869244042670095,J1161
868728039340143,I1299
869244044505273,J1437
869244044520025,J0449
869244044503831,I1960
869244044641573,J1040
869244044510653,I1907
869244042801955,I1698
869244042797492,I1350
869244044527582,J0968
868728039322182,J1123
869244044508624,J1208
869244042819502,I1615
869244044490799,J1392
869244042754642,J0036
869244042798961,K0323
869244044509168,J1216
869244042741409,J0180
868728039246449,J0816
869244044502916,K0245
869244044528697,J1891
868728039297913,J0026
868728039252165,I1464
869244042758981,J1065
869244042788673,I2050
869244042770887,J0957
868728039291296,J1995
869244044527533,J1258
869244042816243,J0211
869244044497703,K0246
869244044727224,I1445
869244042749626,J1940
869244042792626,J0874
868728039318669,J1889
869244044696924,J2090
869244042769301,I0735
869244044491490,J0761
869244044519639,I1614
869244044692881,J1557
869244044521015,J0532
868728039307282,J1408
869244044501637,J0677
869244044491797,J1898
358250330973222,TN38N3676
358250330564328,TN33N3471
869244042804710,J0864
869244044508848,J0115
869244044502817,J2008
869244044530313,J0177
869244044516437,J1787
868728039316226,J1095
868728039344194,J1044
869244044654758,J0721
869244042781603,J1066
868728039322190,J0157
869244044500886,J1349
868728039291320,J1541
868728039306839,I1624
869244044499402,I0921
869244044512451,J1954
868728039293953,J1360
869244042785349,J1222
868728039292930,J0783
868728039245581,J0924
869244044489874,J1904
869244042755813,K0067
869244042789580,J1301
868728039283855,J0195
869244044528507,J0465
869244042814271,I2975
869244044503914,J0630
869244044500753,I3347
868728039337230,J1845
869244044500696,J1385
869244042654818,J1881
868728039296394,I0772
868728039263303,I2061
869244044502502,J0082
869244044493314,I1081
869244044497539,I3314
869244044519936,J0948
869244042784292,J0980
869244044493421,I1091
868728039298200,J0207
868728039297657,J0390
868728039300550,J0065
869244044664146,J1383
868728039261851,J2073
869244044500688,I3346
869244044511446,J1377
868728039299489,J0275
869244044519134,J0861
869244044490724,I3397
869244042816607,J2020
868728039294126,I3311
869244044712127,J2111
869244044519811,J2077
868728039322166,K0110
869244044490252,J1851
869244044511735,J0336
869244044505943,J0289
869244044530602,I2960
869244042799258,J1694
869244044531204,J1880
868728039321986,J1083
868728039309775,J0012
868728039335440,J0901
869244044512196,J1616
869244044514333,J1514
868728039307167,J1676
869244042790828,J1921
868728039332819,I1650
868728039288904,I1152
869244042764765,J0618
869244042709166,I0515
869244042686497,I1453
868728039258477,J1125
868728039304024,I2959
869244044525305,J1201
869244044495566,J0388
868728039292328,J0708
869244042764401,J1905
868728039264624,J0090
868728039333544,I2948
868728039254526,J1978
868728039337818,J1502
869244044532970,J0802
869244044533267,J0151
869244044523524,I3367
868728039278574,J1688
869244044491110,J1967
869244044501348,J1100
358250330781641,J0032
869244044493520,J0221
869244044702367,J1704
869244044496754,J1398
869244044493348,J0114
869244042816201,J0204
868728039253650,J0755
869244044491292,J0983
869244044489734,J0136
868728039275976,J0687
869244042790208,J1628
869244044499691,J1447
868728039262693,J1976
869244044502999,J0523
868728039165052,J1071
868728039268146,J0845
868728039338501,I1001
869244044517567,J0371
868728039260473,J1086
869244042818512,J1579
868728039280877,I1349
868728039333122,I3379
869244044530305,J1265
868728039303778,I0975
868728039332876,J1848
869244044537169,J1266
869244044495350,I2955
869244044491425,J1187
869244044518920,J0499
868728039265613,I1622
869244044515926,J0785
869244042799563,I0538
869244044495574,I1117
868728039318701,J0535
869244044500316,K0047
869244044503799,J1192
869244044522948,J0503
869244042749725,J0837
869244044526329,J1126
869244044502668,J1560
868728039266942,I1458
864495034463874,J2052
868728039246530,J1830
868728039310278,J0057
869244044499584,J2002
869244044507154,J0701
868728039270563,J0242
868728039284796,J0458
869244044702375,J1770
868728039296485,J1660
869244044493447,J1459
869244044491748,I0903
869244044493967,J1833
869244044500522,J0014
358250330783266,J0876
869244044492647,J2088
868728039299562,J1879
869244044702482,J1841
869244042758973,J1436
868728039274383,J0414
869244042793137,J0958
869244044528234,I1601
869244042772537,K0324
868728039280679,J0982
869244044528598,I1945
869244044500902,I1067
869244044514200,J1790
869244044528929,J0053
869244044497679,J1284
869244044500514,I2909
869244044490112,J0112
869244044494866,I2956
868728039261661,J0846
869244044508103,J0715
869244044671604,K0322
869244042770994,J1329
869244044528648,I1950
869244044661225,J2049
869244044495624,J0935
869244044701518,J0162
868728039313025,J0987
869244044489700,I1113
868728039253668,J1281
869244044496309,J1293
869244044490187,I1346
869244044501553,J0533
869244042796106,J1069
869244044530131,J0003
868728039344483,I1621
869244042652929,K0091
869244044489460,I1050
869244044684268,J1973
869244044494387,J1556
868728039293573,I1416
869244044528564,J1138
869244044509044,I0968
869244044699696,J2110
869244044654824,J2019
869244044528432,I3369
869244044524498,J0019
869244044653347,J1730
869244042800924,J0423
869244042820997,J1739
869244042791057,J0866
868728039332314,J1868
869244042783302,I2935
869244044764250,J1736
869244044492837,J1169
869244044493819,I0536
868728039334906,J0854
868728039296428,K0084
869244044518649,J2062
869244042795728,J1952
869244044492217,K0307
869244042770762,J2011
869244044492142,I3348
868728039295545,J1691
869244044653305,J2098
869244044528499,J1570
868728039248205,J1068
869244044530891,I1035
869244044493561,J2012
869244044507915,J1373
869244044496028,J1237
869244042791511,J1842
869244042819551,J1666
869244044523516,J1430
868728039261687,J1936
869244044494932,J1893
868728039342586,I1963
869244044499394,J1715
868728039172322,J0217
869244044490674,I1972
869244044527202,I1454
868728039316465,J1054
869244044715997,K0120
869244044517062,I1957
869244044489312,J0763
868728039291882,J1754
869244044527319,I1442
869244044489593,I1951
868728039266561,I3375
869244044494965,J0034
868728039276891,K0243
869244044493207,I3389
868728039333031,J1109
869244044533630,J1171
869244044531295,K0287
868728039270712,J0146
869244042766844,I2931
869244044490336,J0446
869244044703043,J1703
868728039295412,J0974
869244044501942,I2953
869244044504060,J0285
869244044493165,J1475
869244042813174,I3000
868728039307894,J0918
869244044516015,J1438
868728039246589,I0909
868728039315046,J1117
869244042670814,J1160
869244042809024,J1902
869244042755961,J0251
869244042677454,I0905
868728039335275,J1562
869244044511792,J1539
869244044499493,J1190
869244042769152,J0358
869244044700965,J0068
869244042721591,J1057
869244044673162,J1737
869244044498578,J0478
868728039303901,J0853
869244044660201,J0821
869244042654115,J0780
868728039322430,K0234
869244044515710,K0104
869244044536054,J0851
868728039302648,J1932
868728039308751,J0155
868728039248270,K0081
869244044518839,I1325
869244042820898,I1125
868728039297392,J1319
868728039300790,I3382
868728039286726,J0844
869244044702706,J1920
869244044696130,J2108
868728039300030,J1207
869244044501439,I3364
869244042790661,K0340
869244044519704,I3313
869244042795579,I0992
869244044495905,I2952
869244044531220,J0187
868728039245003,I2912
869244042716526,J0071
869244044496911,J0024
869244044506370,K0326
868728039337529,J1769
869244044509119,J0771
869244044494155,J0223
869244044665291,J0719
868728039266926,K0300
869244042752505,J1461
358250330731638,K0073
869244044523904,J1309
869244042657167,J1732
869244044723652,J0933
869244044655268,J2101
869244044536831,I0712
868728039322372,J0435
869244044501173,J1209
869244044648503,J1953
869244044508988,J1213
869244042813711,J0496
869244044491961,I1608
869244044521379,J1462
869244042818462,J1014
869244044524803,J1626
869244044489882,I0782
868728039251225,K0317
869244044530974,I2922
869244044535338,J0692
869244044491201,J1813
868728039343683,J1371
869244044533234,J0583
868728039273633,J0418
868728039313116,K0112
869244044521908,J1457
869244044500308,J1798
869244042820096,J0890
869244044669293,J1942
869244044525354,J1254
869244042820534,J1565
869244042765069,J1760
869244044508202,J0716
869244044766073,J0076
869244044533853,J1104
869244044515009,J0269
868728039334682,K0239
868728039338238,J1056
868728039272957,I1392
869244044531253,I0796
869244044516916,J0860
869244044643835,J2076
869244044670408,J0466
869244044520066,J0613
869244042802375,J1867
868728039267726,J1206
869244044523474,J1673
869244044503229,J0597
869244042761324,J0908
869244044522021,J0550
869244044649139,J0247
869244044523813,J1263
868728039279184,J0092
869244042677892,J0809
868728039340325,J1828
869244044492159,J1852
869244044490765,J2094
869244044507063,J1397
869244044490377,J1114
869244044493017,J0317
868728039312894,I1342
868728039304966,J1831
869244042750848,J1728
868728039247504,J1280
869244044508111,J2071
869244042725337,J1145
869244044642373,J0173
869244044496986,J1716
868728039283699,J0956
868728039305948,J1389
869244044511917,J1773
869244042816268,J0244
869244044525560,K0298
869244044499360,J1722
869244044715450,J0537
868728039316473,K0071
869244044697849,J2047
868728039245383,J0883
868728039342453,J0249
869244044738940,J0100
868728039267478,I1678
869244044491136,J0915
869244042660385,I1066
869244044492423,J1287
868728039254062,I1006
868728039255259,J1172
868728039296683,J0339
869244044728057,J2054
869244044492373,I1452
869244044500381,J0581
868728039308611,J0201
868728039262164,J1305
869244044516775,K0250
869244044518995,I1653
869244044532699,K0309
869244042798995,J1538
869244044641474,J0262
868728039307464,J0988
869244044506180,J1681
869244042793624,J1048
869244042781330,I1958
869244042814180,K0273
869244042781769,J0584
869244044698730,J2106
869244042638290,I1140
869244042721997,I1130
869244044710386,J1623
869244044507030,J1741
869244044515231,J0576
869244044710188,J1325
869244044690562,J0341
869244042797450,K0018
869244044499709,J0386
869244044523631,J0588
869244042672380,J1225
869244044502841,J1968
869244044667073,J1302
868728039309551,I1381
868728039263576,I2946
869244042820880,I3352
869244044489171,I3395
869244042781645,J0579
869244044517542,J0370
869244044689937,J1651
869244042783716,J0738
869244044517625,J1204
868728039298267,J0102
869244042818264,J0967
869244044696148,I0511
869244044508681,J1243
869244044714446,J2056
869244044522245,J0695
869244044699001,J2112
869244044527228,J0284
869244044501108,J1994
869244042789531,I2070
869244042767008,J0621
869244044491243,K0005
869244044527079,I3370
869244042815989,J0243
868728039320202,J0300
869244044508657,J0441
868728039300196,I1104
869244044500159,J1531
868728039262503,I0757
868728039344400,I3333
869244044526774,S0005
868728039304917,I1176
869244044514218,I2904
869244044510323,J0642
868728039298853,J1695
868728039320491,J0818
869244044506735,J2081
868728039284721,J0415
869244042811798,I2995
869244042793145,J0573
869244042772420,K0042
868728039255861,J0475
869244044508350,J1257
869244044500183,K0129
869244042788996,J1264
868728039287039,J1115
868728039301806,J0916
869244044503203,J0571
869244044501686,J0768
868728039291353,J1747
868728039260325,I1164
869244044512634,I1983
869244044493124,J0645
868728039339269,J0093
868728039303349,J0060
869244044656969,J2092
869244044523789,I1942
869244044497505,J1680
869244044728479,I1406
868728039342677,J0064
868728039308967,J0793
869244044497059,J1777
869244044698789,J1969
868728039261844,I1618
869244044524506,I1314
869244044516833,K0261
869244042817209,J0425
869244042820575,J1657
868728039290058,J0311
868728039332348,J0857
868728039300089,J1582
869244044495699,J1041
869244044523532,J1839
869244044519779,J0384
868728039295677,I1652
358250330764183,J0556
868728039319188,J1043
869244042802722,J0899
869244044507006,J0822
869244044531105,J0188
869244044748188,J2096
869244042763825,J1838
869244042818389,J1248
868728039342974,J1826
869244044723694,J0332
869244042818454,J1334
869244042820526,J0779
869244042806160,J1299
869244044508558,J0520
869244044523011,J0722
868728039267734,J0671
868728039308645,I1190
869244044490070,J2099
869244042797997,K0087
869244044501298,I3336
869244042741847,I1158
868728039295024,J1407
869244044640369,I0779
869244042633200,K0002
868728039299711,J2091
868728039274011,J1511
868728039343238,J0795
868728039261992,J0015
869244044683807,I1692
869244042785901,J1713
868728039342685,K0126
869244044506768,I1449
869244044503294,J0241
869244044490583,J2034
868728039294688,I2996
868728039297004,K0057
868728039337974,J1937
869244044492084,J1755
869244044503278,I2901
868728039304933,I1917
868728039296378,J1273
869244042764229,K0310
869244042791321,J0480
869244044508921,J1212
869244044493868,J0468
869244042750780,K0295
869244044538589,J0073
869244044516718,J1246
869244044731168,J1763
868728039249633,I1609
868728039278590,J0097
869244044648412,J1960
868728039312621,J0070
869244042790943,J1767
869244044524977,J1685
868728039286577,I1045
869244042720650,J1964
868728039315277,J0305
868728039249328,J1181
868728039268336,I0952
869244044531501,J1914
869244042820112,J1980
868728039248387,J1272
868728039339426,J0865
869244042764666,K0070
869244044500399,I3335
869244044692675,J1962
869244044492324,J1345
869244044494510,K0320
868728039165128,J0382
868728039334419,I2994
869244044494734,J0614
869244042638233,I3315
869244044525735,J0353
869244044494171,J0397
869244044527632,K0017
868728039261950,J2086
868728039322216,K0253
868728039323644,J0193
358250330771758,J0489
869244044526907,J1241
869244042800304,J0796
869244044509838,J1308
868728039332173,J0655
869244042650477,K0092
869244044499592,I0709
869244042782692,I1043
869244044496838,J0859
868728039310286,J0326
869244044702649,J2045
868728039297046,J0306
869244042706717,J1424
868728039338972,J0391
869244044511354,K0090
869244044518789,J2084
869244044501033,J1815
869244044492134,K0014
869244042819163,J1662
869244042771745,J1990
868728039320038,I2902
868728039335598,I1155
358250330719401,J0519
869244044536427,J1555
869244044497869,I3392
868728039296444,J1306
869244044515223,J1653
869244044528473,I1908
868728039252645,J2069
868728039343568,J1534
869244042782015,K0106
869244044517534,J0369
868728039280174,J0460
869244044514176,J0938
869244044492985,K0256
868728039305484,J1418
868728039298804,J0335
869244044530479,J1361
869244044501462,J0038
869244044512063,J1536
868728039295552,J1561
869244044496002,J1955
869244044489965,J1800
869244042789689,J1355
869244042663504,J0008
869244044656548,J0028
868728039340226,I1420
869244044496267,J1262
869244044536997,J1575
868728039336976,I1912
869244044511420,J1368
868728039318156,J0772
868728039291684,I3312
869244044698052,J2021
869244044516619,J1001
869244044509093,J1332
869244044526519,J1762
869244044671893,J0132
869244044535270,J1481
868728039299802,J0808
868728039338055,I1154
868728039343329,I3373
869244044523508,J0744
868728039251324,K0338
869244044491474,J1179
869244044515611,J1512
869244044768509,J0971
868728039292500,I1352
869244044514259,K0308
869244044492506,I2977
869244044518524,K0053
869244044512915,L1621
869244044494320,I1118
869244044490732,I1980
869244044647828,J1895
869244044492043,J2007
869244042813257,I3324
869244042764633,J1158
869244044491359,I2917
869244042819528,J1665
869244044689234,J1806
869244044494080,J0931
869244042809636,I1967
869244044757569,J1970
869244044500464,J0592
869244044496614,J0926
869244044497133,J2105
869244044490633,J0293
868728039342628,J1067
869244044501520,J0362
869244042752315,J1144
868728039310245,J1110
868728039282139,J1203
868728039247694,K0085
869244044530297,J1982
869244044535668,J1574
869244044520298,J0453
869244044506461,J1189
869244044500639,J1386
869244044531238,J0189
869244044738957,J2097
358250330773135,J0407
869244042818504,J1578
868728039282386,J0427
869244044526782,J0676
868728039342198,J1876
869244044511495,J1382
868728039303380,J1252
869244042750046,K0105
869244044492951,K0023
869244044512592,J1837
869244044697799,K0304
869244044496093,J1106
869244044494254,J0307
869244042763759,J1239
869244044532053,J1031
868728039318131,J0984
868728039276883,J1021
869244044740599,J0815
869244042792469,I2966
869244042785828,J1226
868728039342255,J0925
868728039341893,J1482
869244042801765,I1292
868728039292567,I1007
869244044512568,J0081
869244042798474,J1391
869244044508129,J0951
869244044528457,J1679
869244042670608,I1435
869244044489585,I1312
868728039314866,J1523
868728039341885,J2028
869244044534687,J0727
868728039321408,K0249
868728039311029,J0962
869244042818181,J0272
869244042751747,K0292
869244044490344,I1626
868728039323172,J1357
868728039167058,J0923
868728039341752,I0970
869244044496317,J1878
869244044716839,J0604
869244044530958,I1186
869244042766562,K0062
869244044503310,J1818
869244044528465,J0599
868728039318313,J0209
869244042637524,K0050
869244044513053,I1474
869244042820849,J0473
358250330748079,J0301
868728039320293,J1317
868728039319931,J0021
869244044525883,J1929
869244044692717,I0775
869244044667685,J2013
869244044491383,J1941
868728039248361,J0403
869244044526832,I1638
358250330773150,J0330
869244044703373,J1696
869244044512543,J0047
869244044499725,I0996
869244044492290,J1364
868728039249641,I1913
868728039297962,I1684
869244042771737,I1651
869244044492605,J0886
869244044521577,J1191
869244044503484,J0976
868728039320756,J0420
869244044729311,J2000
868728039306797,J1503
869244044512527,J1619
869244044535841,K0086
358250330726364,J0878
869244044508889,J1492
869244044531634,J1444
869244044509598,J0554
869244044644148,J0055
869244044518953,J1439
868728039324105,K0271
869244042817233,J0431
869244044664427,I0504
869244044498610,J0025
869244044528218,J0733
869244044509978,J1340
868728039277212,J1405
868728039298838,J0811
869244044528176,J1810
869244042793194,J0364
869244042806475,J1454
868728039285595,I1134
869244042745483,K0314
869244042817530,K0078
869244044530222,J1783
869244044502890,J1327
869244044489569,I1310
869244044506396,J1150
868728039339046,I2039
869244044491219,J1576
869244042797518,K0269
868728039292146,J0740
869244042813364,I3339
868728039341224,J1090
869244044509275,J1827
868728039245185,I1461
869244044512535,J0628
868728039339616,J0798
869244044530578,K0327
869244044493272,J0295
869244042817712,J2060
869244044520975,J0978
868728039244956,K0255
869244042639447,I1465
868728039322539,J1729
868728039304891,J1002
868728039315079,J1093
869244044489346,K0282
869244044506800,J2003
869244044512212,J1617
868728039304545,J0932
868728039321101,J0045
868728039318875,J0022
869244044509051,K0076
869244044503153,J1343
868728039271819,J0419
868728039335853,I1926
869244042793236,I0706
869244042756050,J0830
869244044496010,J1236
869244044501421,I3363
869244044768897,J1118
869244042764153,J2035
869244044495764,J1238
868728039322695,J0049
869244044656431,J1426
869244042672570,J0502
869244042774251,I1022
869244044508095,J1450
869244042719132,J0879
868728039308603,J0405
869244044498495,J0041
869244044506230,K0048
869244044516650,J2061
869244044496242,J1195
869244044502338,J0479
869244044520520,J1247
868728039245995,J1865
869244042797526,I1432
868728039276594,I0602
869244042790133,J1563
868728039311482,J0894
868728039300477,J1934
869244044516668,J1292
869244044513624,K0268
869244044525263,J0939
868728039279564,J0248
869244044527764,J0005
869244044492894,I0759
868728039266637,J1037
869244044699241,J1558
869244042621494,J0700
869244044513749,J1020
868728039321820,I2071
869244042785885,J1376
868728039280398,I0795
869244044509549,J1098
869244044670457,J1718
869244044523557,J1136
869244044508285,J0720
869244042753479,J1296
869244044643249,J1464
869244042816003,J0095
358250330675744,J2016
869244044491375,J0484
869244044493991,I0767
869244044531543,J0973
869244044694275,J0759
869244044493892,J1388
869244044501488,K0026
869244044514267,J1460
868728039299869,K0319
869244044535106,J0240
869244044519753,J0383
869244042766943,J1795
868728039321028,J0020
868728039338154,I1393
868728039298382,J0393
869244042736094,K0313
868728039259608,J1585
869244044501405,K0032
869244044671406,J0063
869244042795967,J1874
869244042798748,J0943
869244044494361,J1911
868728039319824,J0603
868728039305229,J0011
869244042781348,J0541
869244044525271,J0522
869244044531345,J0784
868728039300444,K0034
869244044490534,K0270
869244044501355,J0820
869244042804603,K0124
869244044501868,J0833
869244044656787,J0698
869244042724678,J0817
868728039300493,J1814
869244044503732,J0831
868728039297608,K0061
869244044528275,I3319
869244044493009,J1143
868728039309882,I2949
869244044694200,J0264
869244044488991,J1131
869244042630974,I2066
868728039278152,I3371
868728039301103,J1358
869244042797500,J0600
869244044490666,I2908
868728039341422,J0123
869244044530909,J0994
869244044518540,J0669
869244042797575,I1434
869244044501470,J0351
869244044496937,J1873
868728039320137,J1163
869244044531360,J1242
869244042794572,J0139
869244042798193,I1192
869244042779300,J0762
869244042796122,I1191
869244042795587,I0994
869244042792980,J1162
868728039305963,J0140
869244042787329,I2054
869244044504417,J1500
868728039284580,I1326
868728039290637,I1368
868728039303216,J0981
869244044525891,K0036
869244044510455,J0723
869244044496895,J0712
868728039273047,K0020
868728039339988,J1260
868728039297699,J2080
868728039335846,J1448
869244044534042,J1419
869244044491458,K0012
